Region Name,Region Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
"Aceh Barat, Kab.",IDN_Aceh_Barat_Kab_73624,Net Enrollment Ratio: Primary (in %),SE.PRM.NENR.ZS,..,..,..,93.51,91.74,..,93.6,96.34,94.97,93.78,95.9,93.32,94.69,99.302559,99.75
"Aceh Barat, Kab.",IDN_Aceh_Barat_Kab_73624,Net Enrollment Ratio: Junior Secondary (in %),SE.JRSEC.NENR.ZS,..,..,..,76.44,71.35,..,73.19,73,61.91,79.4,74.69,73.52,79.22,77.846069,82.33
"Aceh Barat, Kab.",IDN_Aceh_Barat_Kab_73624,Net Enrollment Ratio: Senior Secondary (in %),SE.SRSEC.NENR.ZS,..,..,..,55.92,53.14,..,56.41,60.92,65.52,65.66,69.77,70.41,67.87,71.44487,73.09
"Aceh Barat, Kab.",IDN_Aceh_Barat_Kab_73624,Number of hospitals,SH.HOSP.TOTL,2,..,..,1,..,1,..,..,..,..,..,1,..,..,..
"Aceh Barat, Kab.",IDN_Aceh_Barat_Kab_73624,Number of Doctors,SH.DR.TOTL,..,..,..,22,..,13,..,..,26,..,..,47,..,..,..
"Aceh Barat, Kab.",IDN_Aceh_Barat_Kab_73624,Number of Midwives,SH.MED.MWIV.TOTL,..,..,..,182,..,127,..,..,168,..,..,237,..,..,..
"Aceh Barat, Kab.",IDN_Aceh_Barat_Kab_73624,Number of Puskesmas and its line services,SH.PUSKESMAS.TOTL,103,..,..,36,..,32,..,..,..,..,..,58,..,..,..
"Aceh Barat, Kab.",IDN_Aceh_Barat_Kab_73624,Number of Polindes (Poliklinik Desa/Village Polyclinic),SH.POLINDES.TOTL,326,..,..,79,..,42,..,..,30,..,..,28,..,..,..
"Aceh Barat, Kab.",IDN_Aceh_Barat_Kab_73624,Number of schools at junior secondary level,SE.SCHL.JRSEC,68,..,..,18,..,28,..,..,15,..,..,52,..,..,..
"Aceh Barat, Kab.",IDN_Aceh_Barat_Kab_73624,Number of schools at primary level,SE.SCHL.PRM,397,..,..,138,..,151,..,..,56,..,..,184,..,..,..
"Aceh Barat, Kab.",IDN_Aceh_Barat_Kab_73624,Number of schools at Senior Secondary level,SE.SCHL.SRSEC,27,..,..,11,..,22,..,..,8,..,..,39,..,..,..
"Aceh Barat, Kab.",IDN_Aceh_Barat_Kab_73624,Poverty Line (in IDR),SI.POV.NAPL,..,..,..,..,..,220636,265514,297287,335955,341606,371762,402636,407442,413061,417641
"Aceh Barat, Kab.",IDN_Aceh_Barat_Kab_73624,Poverty Rate (in % of population),SI.POV.NAPR.ZS,..,..,38.09,35.83,35.65,34.78,34.54,32.63,29.96,27.09,24.42,23.81,22.76,23.7,22.97
"Aceh Barat, Kab.",IDN_Aceh_Barat_Kab_73624,Poverty Gap (index),SI.POV.NGAP,..,..,4.92,9.2,8.45,8.28,7.16,7.23,11.06,5.73,4.76,0.06,3.32,3.68,4.3
"Aceh Barat, Kab.",IDN_Aceh_Barat_Kab_73624,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Aceh Barat, Kab.",IDN_Aceh_Barat_Kab_73624,Total Population (in number of people),SP.POP.TOTL,430161,377931,383843,172647,162247,165258,151552,152557,153398,158499,173558,178173,181886,185903,..
"Aceh Barat, Kab.",IDN_Aceh_Barat_Kab_73624,Villages with road: Asphalt (in % of total villages),ROD.VILG.ASPH.ZS,47.69,..,..,43.1,..,40,..,..,40,..,..,52.8125,..,..,..
"Aceh Barat, Kab.",IDN_Aceh_Barat_Kab_73624,Villages with road: Dirt (in % of total villages),ROD.VILG.DIRT.ZS,18.04,..,..,12.07,..,16.56,..,..,15,..,..,2.1875,..,..,..
"Aceh Barat, Kab.",IDN_Aceh_Barat_Kab_73624,Villages with road: Gravel (in % of total villages),ROD.VILG.GRAVL.ZS,31.75,..,..,42.76,..,40.31,..,..,44.38,..,..,45,..,..,..
"Aceh Barat, Kab.",IDN_Aceh_Barat_Kab_73624,Villages with road: Other (in % of total villages),ROD.VILG.OTHR.ZS,0.7,..,..,..,..,0.94,..,..,..,..,..,..,..,..,..
"Aceh Besar, Kab.",IDN_Aceh_Besar_Kab_17960,Human Development Index,IDX.HDI,..,..,..,..,70.60681,71.37209,71.87328,72.71099,72.84061,..,..,73.83,..,74.51,..
"Aceh Besar, Kab.",IDN_Aceh_Besar_Kab_17960,Morbidity Rate (in %),SH.MORB.ZS,..,..,..,16.30099,15.56528,..,33.31895,26.83013,37.98896,40.16051,33.48225,32.87799,29.0882170200348,30.5062353610992,..
"Aceh Besar, Kab.",IDN_Aceh_Besar_Kab_17960,Net Enrollment Ratio: Primary (in %),SE.PRM.NENR.ZS,..,..,..,98.62,96.67,..,95.65,93.91,93.23,98.79,96.86,93.48,95.6,98.737762,98.7
"Aceh Besar, Kab.",IDN_Aceh_Besar_Kab_17960,Net Enrollment Ratio: Junior Secondary (in %),SE.JRSEC.NENR.ZS,..,..,..,87.24,84.33,..,78.84,79.98,82.91,81.3,72.65,79.53,82.24,80.066895,84.78
"Aceh Besar, Kab.",IDN_Aceh_Besar_Kab_17960,Net Enrollment Ratio: Senior Secondary (in %),SE.SRSEC.NENR.ZS,..,..,..,60.26,74.24,..,55.05,62.52,70.13,64.35,61.8,63.8,57.96,62.734253,74.97
"Aceh Besar, Kab.",IDN_Aceh_Besar_Kab_17960,Number of hospitals,SH.HOSP.TOTL,1,..,..,1,..,2,..,..,..,..,..,1,..,..,..
"Aceh Besar, Kab.",IDN_Aceh_Besar_Kab_17960,Number of Doctors,SH.DR.TOTL,..,..,..,38,..,74,..,..,74,..,..,106,..,..,..
"Aceh Besar, Kab.",IDN_Aceh_Besar_Kab_17960,Number of Midwives,SH.MED.MWIV.TOTL,..,..,..,709,..,451,..,..,488,..,..,557,..,..,..
"Aceh Besar, Kab.",IDN_Aceh_Besar_Kab_17960,Number of Puskesmas and its line services,SH.PUSKESMAS.TOTL,70,..,..,78,..,68,..,..,..,..,..,93,..,..,..
"Aceh Besar, Kab.",IDN_Aceh_Besar_Kab_17960,Number of Polindes (Poliklinik Desa/Village Polyclinic),SH.POLINDES.TOTL,347,..,..,402,..,203,..,..,271,..,..,204,..,..,..
"Aceh Besar, Kab.",IDN_Aceh_Besar_Kab_17960,Number of schools at junior secondary level,SE.SCHL.JRSEC,57,..,..,63,..,51,..,..,57,..,..,78,..,..,..
"Aceh Besar, Kab.",IDN_Aceh_Besar_Kab_17960,Number of schools at primary level,SE.SCHL.PRM,271,..,..,270,..,196,..,..,199,..,..,250,..,..,..
"Aceh Besar, Kab.",IDN_Aceh_Besar_Kab_17960,Number of schools at Senior Secondary level,SE.SCHL.SRSEC,22,..,..,29,..,35,..,..,34,..,..,50,..,..,..
"Aceh Besar, Kab.",IDN_Aceh_Besar_Kab_17960,Poverty Line (in IDR),SI.POV.NAPL,..,..,..,..,..,249760,259910,266749,285876,308440,324096,351800,352112,352451,352751
"Aceh Besar, Kab.",IDN_Aceh_Besar_Kab_17960,Poverty Rate (in % of population),SI.POV.NAPR.ZS,..,..,33.16,30.25,29.89,28.81,28.66,26.69,21.52,20.09,18.8,18.36,17.5,16.88,16.13
"Aceh Besar, Kab.",IDN_Aceh_Besar_Kab_17960,Poverty Gap (index),SI.POV.NGAP,..,..,5.16,4.03,3.41,6.13,6.2,6.5,5.56,3.91,3.71,3.66,2.63,2.89,2.76
"Aceh Besar, Kab.",IDN_Aceh_Besar_Kab_17960,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Aceh Besar, Kab.",IDN_Aceh_Besar_Kab_17960,Total Population (in number of people),SP.POP.TOTL,285750,285048,286644,293714,303016,216998,304303,307362,310107,312762,351418,361290,369134,376491,..
"Aceh Besar, Kab.",IDN_Aceh_Besar_Kab_17960,Villages with road: Asphalt (in % of total villages),ROD.VILG.ASPH.ZS,60.54,..,..,77.54,..,54.08,..,..,46.19,..,..,72.25914,..,..,..
"Aceh Besar, Kab.",IDN_Aceh_Besar_Kab_17960,Villages with road: Dirt (in % of total villages),ROD.VILG.DIRT.ZS,3.18,..,..,0.33,..,5.99,..,..,3.97,..,..,0.6644518,..,..,..
"Aceh Besar, Kab.",IDN_Aceh_Besar_Kab_17960,Villages with road: Gravel (in % of total villages),ROD.VILG.GRAVL.ZS,35.62,..,..,21.46,..,38.94,..,..,49.5,..,..,26.24585,..,..,..
"Aceh Besar, Kab.",IDN_Aceh_Besar_Kab_17960,Villages with road: Other (in % of total villages),ROD.VILG.OTHR.ZS,0.17,..,..,0.17,..,0.5,..,..,0.17,..,..,0.8305648,..,..,..
"Aceh Jaya, Kab.",IDN_Aceh_Jaya_Kab_73625,Human Development Index,IDX.HDI,..,..,..,..,66.17369,66.83559,67.7666,68.23164,68.94265,..,..,69.99,..,71,..
"Aceh Jaya, Kab.",IDN_Aceh_Jaya_Kab_73625,Morbidity Rate (in %),SH.MORB.ZS,..,..,..,..,48.47451,..,49.33298,56.4945,41.44265,42.00646,43.26417,33.1352,34.2947363853455,30.9227913618088,..
"Aceh Jaya, Kab.",IDN_Aceh_Jaya_Kab_73625,Net Enrollment Ratio: Primary (in %),SE.PRM.NENR.ZS,..,..,..,..,91.91,..,93.96,93.79,93.12,97.58,94.66,96.07,93.28,95.107445,97.36
"Aceh Jaya, Kab.",IDN_Aceh_Jaya_Kab_73625,Net Enrollment Ratio: Junior Secondary (in %),SE.JRSEC.NENR.ZS,..,..,..,..,82.32,..,74.72,66.83,68.5,73.58,76.51,76.1,74.54,73.665871,77.68
"Aceh Jaya, Kab.",IDN_Aceh_Jaya_Kab_73625,Net Enrollment Ratio: Senior Secondary (in %),SE.SRSEC.NENR.ZS,..,..,..,..,60.67,..,44.08,43.99,53.55,55.12,63,65.49,55.9,70.126465,72.58
"Aceh Jaya, Kab.",IDN_Aceh_Jaya_Kab_73625,Number of hospitals,SH.HOSP.TOTL,..,..,..,..,..,..,..,..,..,..,..,1,..,..,..
"Aceh Jaya, Kab.",IDN_Aceh_Jaya_Kab_73625,Number of Doctors,SH.DR.TOTL,..,..,..,12,..,8,..,..,7,..,..,22,..,..,..
"Aceh Jaya, Kab.",IDN_Aceh_Jaya_Kab_73625,Number of Midwives,SH.MED.MWIV.TOTL,..,..,..,99,..,56,..,..,107,..,..,176,..,..,..
"Aceh Jaya, Kab.",IDN_Aceh_Jaya_Kab_73625,Number of Puskesmas and its line services,SH.PUSKESMAS.TOTL,..,..,..,30,..,38,..,..,..,..,..,37,..,..,..
"Aceh Jaya, Kab.",IDN_Aceh_Jaya_Kab_73625,Number of Polindes (Poliklinik Desa/Village Polyclinic),SH.POLINDES.TOTL,..,..,..,110,..,20,..,..,48,..,..,47,..,..,..
"Aceh Jaya, Kab.",IDN_Aceh_Jaya_Kab_73625,Number of schools at junior secondary level,SE.SCHL.JRSEC,..,..,..,26,..,12,..,..,17,..,..,39,..,..,..
"Aceh Jaya, Kab.",IDN_Aceh_Jaya_Kab_73625,Number of schools at primary level,SE.SCHL.PRM,..,..,..,91,..,82,..,..,64,..,..,116,..,..,..
"Aceh Jaya, Kab.",IDN_Aceh_Jaya_Kab_73625,Number of schools at Senior Secondary level,SE.SCHL.SRSEC,..,..,..,6,..,3,..,..,6,..,..,15,..,..,..
"Aceh Jaya, Kab.",IDN_Aceh_Jaya_Kab_73625,Poverty Line (in IDR),SI.POV.NAPL,..,..,..,..,..,182677,200165,212762,215382,254156,267057,291333,296921,303209,308891
"Aceh Jaya, Kab.",IDN_Aceh_Jaya_Kab_73625,Poverty Rate (in % of population),SI.POV.NAPR.ZS,..,..,..,31.7,31.6,30.65,30.42,29.28,23.86,21.86,20.17,19.8,18.3,17.53,16.52
"Aceh Jaya, Kab.",IDN_Aceh_Jaya_Kab_73625,Poverty Gap (index),SI.POV.NGAP,..,..,..,8.16,7.5,6.08,6.01,5.46,5.79,4.49,3.67,3.69,3.47,3.04,2.47
"Aceh Jaya, Kab.",IDN_Aceh_Jaya_Kab_73625,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Aceh Jaya, Kab.",IDN_Aceh_Jaya_Kab_73625,Total Population (in number of people),SP.POP.TOTL,..,..,..,89012,79958,82789,65996,70673,75597,82904,76782,78984,80575,82385,..
"Aceh Jaya, Kab.",IDN_Aceh_Jaya_Kab_73625,Villages with road: Asphalt (in % of total villages),ROD.VILG.ASPH.ZS,..,..,..,47.47,..,32.16,..,..,32.16,..,..,56.47059,..,..,..
"Aceh Jaya, Kab.",IDN_Aceh_Jaya_Kab_73625,Villages with road: Dirt (in % of total villages),ROD.VILG.DIRT.ZS,..,..,..,6.96,..,30.99,..,..,15.79,..,..,10,..,..,..
"Aceh Jaya, Kab.",IDN_Aceh_Jaya_Kab_73625,Villages with road: Gravel (in % of total villages),ROD.VILG.GRAVL.ZS,..,..,..,44.3,..,33.33,..,..,50.88,..,..,32.94118,..,..,..
"Aceh Jaya, Kab.",IDN_Aceh_Jaya_Kab_73625,Villages with road: Other (in % of total villages),ROD.VILG.OTHR.ZS,..,..,..,0.63,..,1.75,..,..,0.58,..,..,0.5882353,..,..,..
"Aceh Selatan, Kab.",IDN_Aceh_Selatan_Kab_73626,Human Development Index,IDX.HDI,..,..,..,..,66.88849,67.7424,68.41211,68.86731,69.17833,..,..,70.36,..,71.18,..
"Aceh Selatan, Kab.",IDN_Aceh_Selatan_Kab_73626,Morbidity Rate (in %),SH.MORB.ZS,..,..,..,25.94292,26.84649,..,32.73873,35.53559,37.16363,35.31644,39.04387,21.28145,28.5586506128311,18.3012321591377,..
"Aceh Selatan, Kab.",IDN_Aceh_Selatan_Kab_73626,Net Enrollment Ratio: Primary (in %),SE.PRM.NENR.ZS,..,..,..,90.79,91.06,..,92.51,94.59,96.09,91.06,98.35,91.73,94.99,99.209213,99.67
"Aceh Selatan, Kab.",IDN_Aceh_Selatan_Kab_73626,Net Enrollment Ratio: Junior Secondary (in %),SE.JRSEC.NENR.ZS,..,..,..,74.19,75.1,..,70.38,81.02,79.42,83.56,75.12,69.99,69.55,74.605728,80.02
"Aceh Selatan, Kab.",IDN_Aceh_Selatan_Kab_73626,Net Enrollment Ratio: Senior Secondary (in %),SE.SRSEC.NENR.ZS,..,..,..,54.78,62.3,..,57.68,66.72,71.75,51.74,59.44,62.3,64.12,65.209496,69.46
"Aceh Selatan, Kab.",IDN_Aceh_Selatan_Kab_73626,Number of hospitals,SH.HOSP.TOTL,1,..,..,1,..,1,..,..,..,..,..,1,..,..,..
"Aceh Selatan, Kab.",IDN_Aceh_Selatan_Kab_73626,Number of Doctors,SH.DR.TOTL,..,..,..,17,..,32,..,..,17,..,..,35,..,..,..
"Aceh Selatan, Kab.",IDN_Aceh_Selatan_Kab_73626,Number of Midwives,SH.MED.MWIV.TOTL,..,..,..,194,..,139,..,..,151,..,..,254,..,..,..
"Aceh Selatan, Kab.",IDN_Aceh_Selatan_Kab_73626,Number of Puskesmas and its line services,SH.PUSKESMAS.TOTL,105,..,..,73,..,76,..,..,..,..,..,68,..,..,..
"Aceh Selatan, Kab.",IDN_Aceh_Selatan_Kab_73626,Number of Polindes (Poliklinik Desa/Village Polyclinic),SH.POLINDES.TOTL,324,..,..,200,..,142,..,..,123,..,..,28,..,..,..
"Aceh Selatan, Kab.",IDN_Aceh_Selatan_Kab_73626,Number of schools at junior secondary level,SE.SCHL.JRSEC,56,..,..,37,..,43,..,..,31,..,..,64,..,..,..
"Aceh Selatan, Kab.",IDN_Aceh_Selatan_Kab_73626,Number of schools at primary level,SE.SCHL.PRM,333,..,..,211,..,223,..,..,128,..,..,232,..,..,..
"Aceh Selatan, Kab.",IDN_Aceh_Selatan_Kab_73626,Number of schools at Senior Secondary level,SE.SCHL.SRSEC,25,..,..,21,..,25,..,..,15,..,..,40,..,..,..
"Aceh Selatan, Kab.",IDN_Aceh_Selatan_Kab_73626,Poverty Line (in IDR),SI.POV.NAPL,..,..,..,..,..,171815,186227,196167,203761,236741,257640,278854,281158,283446,285301
"Aceh Selatan, Kab.",IDN_Aceh_Selatan_Kab_73626,Poverty Rate (in % of population),SI.POV.NAPR.ZS,..,..,28.28,29.25,27.56,26.43,24.58,24.72,19.4,17.5,15.93,15.52,14.81,13.44,12.79
"Aceh Selatan, Kab.",IDN_Aceh_Selatan_Kab_73626,Poverty Gap (index),SI.POV.NGAP,..,..,3.32,5.48,4.94,4.68,5.83,4.57,3.62,2.44,3.1,2.45,2.17,2.09,1.85
"Aceh Selatan, Kab.",IDN_Aceh_Selatan_Kab_73626,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Aceh Selatan, Kab.",IDN_Aceh_Selatan_Kab_73626,Total Population (in number of people),SP.POP.TOTL,419595,302961,307445,197143,186857,190530,202080,209853,210111,215315,202251,207971,212612,216994,..
"Aceh Selatan, Kab.",IDN_Aceh_Selatan_Kab_73626,Villages with road: Asphalt (in % of total villages),ROD.VILG.ASPH.ZS,86.44,..,..,79.35,..,80.16,..,..,68.55,..,..,77.64227,..,..,..
"Aceh Selatan, Kab.",IDN_Aceh_Selatan_Kab_73626,Villages with road: Dirt (in % of total villages),ROD.VILG.DIRT.ZS,3.46,..,..,4.05,..,5.67,..,..,7.26,..,..,5.691057,..,..,..
"Aceh Selatan, Kab.",IDN_Aceh_Selatan_Kab_73626,Villages with road: Gravel (in % of total villages),ROD.VILG.GRAVL.ZS,7.98,..,..,14.17,..,13.36,..,..,22.98,..,..,15.44715,..,..,..
"Aceh Selatan, Kab.",IDN_Aceh_Selatan_Kab_73626,Villages with road: Other (in % of total villages),ROD.VILG.OTHR.ZS,0.53,..,..,..,..,..,..,..,..,..,..,1.219512,..,..,..
"Aceh Singkil, Kab.",IDN_Aceh_Singkil_Kab_73627,Human Development Index,IDX.HDI,..,..,..,..,65.7562,66.45496,67.16621,67.97205,68.11937,..,..,68.98,..,69.79,..
"Aceh Singkil, Kab.",IDN_Aceh_Singkil_Kab_73627,Morbidity Rate (in %),SH.MORB.ZS,..,..,..,17.81182,25.80659,..,28.44963,39.25295,31.85624,35.81677,34.07705,26.78956,27.0465642213821,23.6341148614883,..
"Aceh Singkil, Kab.",IDN_Aceh_Singkil_Kab_73627,Net Enrollment Ratio: Primary (in %),SE.PRM.NENR.ZS,..,..,..,97.8,96.29,..,96.98,96.77,97.54,94.58,99.53,93.6,95.99,98.266129,98.42
"Aceh Singkil, Kab.",IDN_Aceh_Singkil_Kab_73627,Net Enrollment Ratio: Junior Secondary (in %),SE.JRSEC.NENR.ZS,..,..,..,63.81,68.25,..,76.29,79.17,83.64,81.25,74.73,68.51,75.82,85.204498,86.39
"Aceh Singkil, Kab.",IDN_Aceh_Singkil_Kab_73627,Net Enrollment Ratio: Senior Secondary (in %),SE.SRSEC.NENR.ZS,..,..,..,51.06,54.64,..,50.83,56.78,62.84,56.75,68.15,66.1,54.04,66.401711,69.84
"Aceh Singkil, Kab.",IDN_Aceh_Singkil_Kab_73627,Number of hospitals,SH.HOSP.TOTL,..,..,..,..,..,..,..,..,..,..,..,1,..,..,..
"Aceh Singkil, Kab.",IDN_Aceh_Singkil_Kab_73627,Number of Doctors,SH.DR.TOTL,..,..,..,32,..,26,..,..,8,..,..,26,..,..,..
"Aceh Singkil, Kab.",IDN_Aceh_Singkil_Kab_73627,Number of Midwives,SH.MED.MWIV.TOTL,..,..,..,183,..,134,..,..,112,..,..,102,..,..,..
"Aceh Singkil, Kab.",IDN_Aceh_Singkil_Kab_73627,Number of Puskesmas and its line services,SH.PUSKESMAS.TOTL,54,..,..,59,..,55,..,..,..,..,..,36,..,..,..
"Aceh Singkil, Kab.",IDN_Aceh_Singkil_Kab_73627,Number of Polindes (Poliklinik Desa/Village Polyclinic),SH.POLINDES.TOTL,82,..,..,69,..,59,..,..,17,..,..,1,..,..,..
"Aceh Singkil, Kab.",IDN_Aceh_Singkil_Kab_73627,Number of schools at junior secondary level,SE.SCHL.JRSEC,27,..,..,35,..,30,..,..,14,..,..,33,..,..,..
"Aceh Singkil, Kab.",IDN_Aceh_Singkil_Kab_73627,Number of schools at primary level,SE.SCHL.PRM,126,..,..,159,..,164,..,..,43,..,..,115,..,..,..
"Aceh Singkil, Kab.",IDN_Aceh_Singkil_Kab_73627,Number of schools at Senior Secondary level,SE.SCHL.SRSEC,9,..,..,22,..,19,..,..,6,..,..,19,..,..,..
"Aceh Singkil, Kab.",IDN_Aceh_Singkil_Kab_73627,Poverty Line (in IDR),SI.POV.NAPL,..,..,..,..,..,168566,191539,208087,213997,257778,280534,304414,308917,316319,322413
"Aceh Singkil, Kab.",IDN_Aceh_Singkil_Kab_73627,Poverty Rate (in % of population),SI.POV.NAPR.ZS,..,..,28.28,29.06,28.85,28.61,28.41,28.54,23.27,21.06,19.38,18.93,17.92,18.73,17.77
"Aceh Singkil, Kab.",IDN_Aceh_Singkil_Kab_73627,Poverty Gap (index),SI.POV.NGAP,..,..,3.32,6.61,6.25,4.85,5.32,5.5,4.82,3.4,2.91,3.14,1.9,2.77,2.65
"Aceh Singkil, Kab.",IDN_Aceh_Singkil_Kab_73627,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Aceh Singkil, Kab.",IDN_Aceh_Singkil_Kab_73627,Total Population (in number of people),SP.POP.TOTL,..,121678,123209,124758,147117,152594,92605,94961,100265,102505,102509,105174,107697,110108,..
"Aceh Singkil, Kab.",IDN_Aceh_Singkil_Kab_73627,Villages with road: Asphalt (in % of total villages),ROD.VILG.ASPH.ZS,31.25,..,..,26.46,..,43.16,..,..,45.3,..,..,55.65217,..,..,..
"Aceh Singkil, Kab.",IDN_Aceh_Singkil_Kab_73627,Villages with road: Dirt (in % of total villages),ROD.VILG.DIRT.ZS,9.03,..,..,13.76,..,19.47,..,..,19.66,..,..,13.91304,..,..,..
